Indeks,Komentar,Komentar_bersih,normal_teks,Label,Label_Validator
5004,panglima kami lawannya langsung sama prabowo bukannya sama bobby bobby lawannya sekelas kepala dinas 😂😂 buang buang waktu saja,panglima kami lawannya langsung sama prabowo bukannya sama bobby bobby lawannya sekelas kepala dinas emoji_face_with_tears_of_joy emoji_face_with_tears_of_joy buang buang waktu saja,panglima kami lawannya langsung sama Prabowo bukannya sama bobby bobby lawannya sekelas kepala dinas emoji_face_with_tears_of_joy emoji_face_with_tears_of_joy buang buang waktu saja,3,3
2577,palembang kota monyet rakus🤣,palembang kota monyet rakus emoji_rolling_on_the_floor_laughing,palembang kota monyet rakus emoji_rolling_on_the_floor_laughing,4,4
49854,fyp pas org nya udh gk ada,fyp pas org nya udh gk ada,fyp pas orang nya udah tidak ada,0,0
54949,1 jam ny bg,1 jam ny bg,1 jam ini bang,0,0
10565,saya yakin bang filsuf ini ipk nya di bawah 3,saya yakin bang filsuf ini ipk nya di bawah 3,saya yakin bang filsuf ini ipk nya di bawah 3,3,3
13492,liat vidio isinya 18 semua ga liat vidionya ga bisa liat ka teguh,liat vidio isinya 18 semua ga liat vidionya ga bisa liat ka teguh,liat vidio isinya 18 semua ga liat videonya ga bisa liat ka teguh,5,5
17102,Baru sadar 6⃣M̲A̲N̲D̲A̲L̲I̲K̲A̲7̲7̲6⃣ tuh viral di mana-mana.,baru sadar emoji_keycap_6 mandalika77 emoji_keycap_6 tuh viral di mana-mana.,baru sadar emoji_keycap_6 mandalika77 emoji_keycap_6 tuh viral di mana-mana.,1,1
19854,gk buka rental ps kak,gk buka rental ps kak,tidak buka rental ps kak,0,0
8093,susu nya besar broooo😀,susu nya besar broooo emoji_grinning_face,susu nya besar bro emoji_grinning_face,5,5
6259,we dont want an apologize educate your kind please,we dont want an apologize educate your kind please,we don't want dan minta maaf mendidik your baik silakan,4,4
48008,kowe wes rabi toh😭😭,kowe wes rabi toh emoji_loudly_crying_face emoji_loudly_crying_face,kowe wes rabi toh emoji_loudly_crying_face emoji_loudly_crying_face,0,0
20942,gimana ni pak jokowi kalo udah begini wkwk,gimana ni pak jokowi kalo udah begini wkwk,gimana ni pak Jokowi kalo sudah begini wkwk,0,0
9740,aku mau hujat aja mikir banget kata² nya plisss😭,aku mau hujat aja mikir banget kata2 nya plisss emoji_loudly_crying_face,aku mau hujat aja mikir banget kata-kata nya please emoji_loudly_crying_face,3,3
16760,Jakpot besar datang tiba-tiba di А𝙀𝘙𝘖𝟪𝟾. Penasaran kan?,jakpot besar datang tiba-tiba di aero88. penasaran kan?,jackpot besar datang tiba-tiba di aero88. penasaran kan?,1,1
12141,tetenya aj bagus wajahnya kaya naga,tetenya aj bagus wajahnya kaya naga,tete nya aja bagus wajahnya kaya naga,5,5
11089,ahmad dani dakjal,ahmad dani dakjal,ahmad dani dahjal,3,3
59960,anda nyasar bung,anda nyasar bung,anda nyasar bung,0,0
384,@anjay22 🖤🖤 winner🖤🖤006,mention_anjay22 emoji_black_heart emoji_black_heart winner emoji_black_heart emoji_black_heart 006,mention_anjay22 emoji_black_heart emoji_black_heart pemenang emoji_black_heart emoji_black_heart 006,1,1
36616,mie ayam🤤😔,mie ayam emoji_drooling_face emoji_pensive_face,mie ayam emoji_drooling_face emoji_pensive_face,0,0
40392,ini yang bikin penasaran,ini yang bikin penasaran,ini yang bikin penasaran,0,0
21094,enak paling,enak paling,enak paling,0,0
12842,opply 😁🖒xxx,opply emoji_beaming_face_with_smiling_eyes xxx,aplikasi emoji_beaming_face_with_smiling_eyes xxx,5,5
31520,ini lah sejarah yg harus tetap kita kabarkan untuk anak cucu agar sejarah tak pernah hilang,ini lah sejarah yg harus tetap kita kabarkan untuk anak cucu agar sejarah tak pernah hilang,ini lah sejarah yg harus tetap kita kabarkan untuk anak cucu agar sejarah tak pernah hilang,0,0
67873,yang kayak gini mah sengaja bgt baru 5 menit gak gw tonton lg karena udh keluar,yang kayak gini mah sengaja bgt baru 5 menit gak gw tonton lg karena udh keluar,yang kayak gini mah sengaja banget baru 5 menit gak saya tonton lagi karena udah keluar,0,0
27102,terlepas dari semua temen setuju atau tidak kami ingin berpisah dri indonesia tpi inilah temen kalian bisa liat sendiri apa yg negara perbuat pada aceh papua🙏,terlepas dari semua temen setuju atau tidak kami ingin berpisah dri indonesia tpi inilah temen kalian bisa liat sendiri apa yg negara perbuat pada aceh papua emoji_folded_hands,terlepas dari semua teman setuju atau tidak kami ingin berpisah dari indonesia tapi inilah teman kalian bisa liat sendiri apa yg negara perbuat pada aceh papua emoji_folded_hands,0,0
3319,sakit ni orang,sakit ni orang,sakit ni orang,3,3
15462,Semua orang udah pada main nih di ✌4⃣⚜⚜‍♂⚾♍17✌.,semua orang udah pada main nih di emoji_victory_hand emoji_keycap_4 emoji_fleur-de-lis emoji_fleur-de-lis  emoji_male_sign emoji_baseball emoji_virgo 17 emoji_victory_hand .,semua orang sudah pada main nih di emoji_victory_hand emoji_keycap_4 emoji_fleur-de-lis emoji_fleur-de-lis emoji_male_sign emoji_baseball emoji_virgo 17 emoji_victory_hand .,1,1
6363,what were you wearing educate your son,what were you wearing educate your son,apa were you wearing mendidik your son,4,4
32058,ambil kursi di belakang trus pake kaki kan bisa,ambil kursi di belakang trus pake kaki kan bisa,ambil kursi di belakang terus pake kaki kan bisa,0,0
9426,lu aja yang gua pake gimana,lu aja yang gua pake gimana,lu aja yang gua pake gimana,5,5
34885,yang banding2 in ga inget umurr,yang banding2 in ga inget umurr,yang banding-banding di ga inget umur,0,0
6703,kalau kondomnya lepas di dalam bagaimana rasanya mbak,kalau kondomnya lepas di dalam bagaimana rasanya mbak,kalau kondomnya lepas di dalam bagaimana rasanya mbak,5,5
1541,gaada apanya lu kalo diaduin sama jawa,gaada apanya lu kalo diaduin sama jawa,tidak ada apa lu kalo diadu sama jawa,4,4
2874,dikira dia mau apa ama elu😹,dikira dia mau apa ama elu emoji_cat_with_tears_of_joy,dikira dia mau apa ama elu emoji_cat_with_tears_of_joy,3,3
19000,takut bgt di neraka pun masih korupsi,takut bgt di neraka pun masih korupsi,takut banget di neraka pun masih korupsi,0,0
16411,АX𝐋𝟩7𝟩menawarkan kesempatan untuk berbagi pengalaman Anda.,axl 777 menawarkan kesempatan untuk berbagi pengalaman anda.,axl 777 menawarkan kesempatan untuk berbagi pengalaman anda.,1,1
48617,lebih pilih nana gajah si🗿,lebih pilih nana gajah si emoji_moai,lebih pilih nana gajah si emoji_moai,0,0
9016,boleh kali tf 300😭😭😭,boleh kali tf 300 emoji_loudly_crying_face emoji_loudly_crying_face emoji_loudly_crying_face,boleh kali transfer 300 emoji_loudly_crying_face emoji_loudly_crying_face emoji_loudly_crying_face,1,1
19433,aku sih udah liat di yt bang skyni 😁,aku sih udah liat di yt bang skyni emoji_beaming_face_with_smiling_eyes,aku sih sudah liat di yt bang skyni emoji_beaming_face_with_smiling_eyes,0,0
48298,lc ya,lc ya,lc ya,0,0
12374,content gk berbobot pls yg baik dikit bikin konten ini tu bukan buda ya luar tau sopan santun lah jangan di sama in di luar coba kalau di contoh ank kecil di bawah umur udh gk bener,content gk berbobot pls yg baik dikit bikin konten ini tu bukan buda ya luar tau sopan santun lah jangan di sama in di luar coba kalau di contoh ank kecil di bawah umur udh gk bener,konten tidak berbobot please yg baik dikit bikin konten ini tu bukan buda ya luar tau sopan santun lah jangan di sama di di luar coba kalau di contoh anak kecil di bawah umur udah tidak benar,4,4
1254,muke lu demek,muke lu demek,muka lu demek,3,3
3056,mimpi lu dekss,mimpi lu dekss,mimpi lu deks,3,3
9162,ultramen badut 🙄 what the hell🗿,ultramen badut emoji_face_with_rolling_eyes what the hell emoji_moai,ultraman badut emoji_face_with_rolling_eyes apa the neraka emoji_moai,3,3
22468,2021 ini jd mantan terakhir gamau pacaran lagi trauma berat 2025 masih bertahan ssndiri ga dkt sm siapa2 😂😂,2021 ini jd mantan terakhir gamau pacaran lagi trauma berat 2025 masih bertahan ssndiri ga dkt sm siapa2 emoji_face_with_tears_of_joy emoji_face_with_tears_of_joy,2021 ini jadi mantan terakhir tidak mau pacaran lagi trauma berat 2025 masih bertahan sendiri ga dekat sm siapa saja emoji_face_with_tears_of_joy emoji_face_with_tears_of_joy,0,0
12512,ap nama creamnya aq pgen bli buat istri kendor kempes,ap nama creamnya aq pgen bli buat istri kendor kempes,ap nama krimnya aku pengen beli buat istri kendor kempes,5,5
8347,lubang nya mungkin sudah sgde gaban wk,lubang nya mungkin sudah sgde gaban wk,lubang nya mungkin sudah sgde gaban wk,5,5
66678,apakah kamu sudah menikah febiyana,apakah kamu sudah menikah febiyana,apakah kamu sudah menikah Febiyana,0,0
9397,kmren teman gw jg wd dsini kk🥹,kmren teman gw jg wd dsini kk emoji_face_holding_back_tears,kemarin teman saya juga wd di sini kk emoji_face_holding_back_tears,1,1
11469,yaa allah semoga si mulan jembud dengan ahmad dani di balas setimpal dengan apa yang mereka perbuat aminn dan serta bunda maya di beri kesabaran dan kebahagiaan sehat panjang umur dan terhindar dari orang2 jahat seperti mulan si pelakor dan ahmad dani amin amin yaroballalamin 🤲🤲🤲🤲🤲🤲🤲🤲🤲🤲🤲🤲🤲🤲,yaa allah semoga si mulan jembud dengan ahmad dani di balas setimpal dengan apa yang mereka perbuat aminn dan serta bunda maya di beri kesabaran dan kebahagiaan sehat panjang umur dan terhindar dari orang2 jahat seperti mulan si pelakor dan ahmad dani amin amin yaroballalamin emoji_palms_up_together emoji_palms_up_together emoji_palms_up_together emoji_palms_up_together emoji_palms_up_together emoji_palms_up_together emoji_palms_up_together emoji_palms_up_together emoji_palms_up_together emoji_palms_up_together emoji_palms_up_together emoji_palms_up_together emoji_palms_up_together emoji_palms_up_together,ya allah semoga si mulan jembut dengan ahmad dani di balas setimpal dengan apa yang mereka perbuat amin dan serta bunda maya di beri kesabaran dan kebahagiaan sehat panjang umur dan terhindar dari orang jahat seperti mulan si pelakor dan ahmad dani amin amin ya Robb al-alamin emoji_palms_up_together emoji_palms_up_together emoji_palms_up_together emoji_palms_up_together emoji_palms_up_together emoji_palms_up_together emoji_palms_up_together emoji_palms_up_together emoji_palms_up_together emoji_palms_up_together emoji_palms_up_together emoji_palms_up_together emoji_palms_up_together emoji_palms_up_together,3,3
15983,"💎 Dari receh jadi sultan, main di 𝗠𝗔𝗡𝗝𝗨𝗥𝗕𝗘𝗧 emang worth it! 🎰💥","emoji_gem_stone dari receh jadi sultan, main di manjurbet emang worth it! emoji_slot_machine emoji_collision","emoji_gem_stone dari receh jadi sultan, main di manjurbet emang berharga it! emoji_slot_machine emoji_collision",1,1
43942,15. @hi ini usy 😭😭😭,15. mention_user ini usy emoji_loudly_crying_face emoji_loudly_crying_face emoji_loudly_crying_face,15. mention_user ini usy emoji_loudly_crying_face emoji_loudly_crying_face emoji_loudly_crying_face,0,0
4697,tinggal gue iket terlentang dan saatnya gue beraksi🤤,tinggal gue iket terlentang dan saatnya gue beraksi emoji_drooling_face,tinggal gue ikat terlentang dan saatnya gue beraksi emoji_drooling_face,5,5
55121,idd dosany😭😭,idd dosany emoji_loudly_crying_face emoji_loudly_crying_face,idd dosanya emoji_loudly_crying_face emoji_loudly_crying_face,0,0
8800,@signoryyy @sahrulpurnama merasa terpanggil tu v😂,mention_signoryyy mention_sahrulpurnama merasa terpanggil tu v emoji_face_with_tears_of_joy,mention_signoryyy mention_sahrulpurnama merasa terpanggil tu v emoji_face_with_tears_of_joy,1,1
16199,Memang cuman 【A】【L】【E】【X】【I】【S】【1】【7】 yang bisa bikin nagih!.,memang cuman [(a)] [(l)] [(e)] [(x)] [(i)] [(s)] [(1)] [(7)]  yang bisa bikin nagih!.,memang cuman [(a)] [(l)] [(e)] [(x)] [(i)] [(s)] [(1)] [(7)] yang bisa bikin nagih!.,1,1
67285,upload nya setiap minggu pasti subscribe nya naik drastis say,upload nya setiap minggu pasti subscribe nya naik drastis say,upload nya setiap minggu pasti berlangganan nya naik drastis say,0,0
5767,kalo jawa merdeka udah punya raja nabi mulyono,kalo jawa merdeka udah punya raja nabi mulyono,kalo jawa merdeka sudah punya raja nabi mulyono,3,3
17114,"Serius deh, ♣✝ＭＡＮＤＡＬＩＫＡ✈✈✝♣ bikin semuanya jadi lebih mudah.","serius deh, emoji_club_suit emoji_latin_cross mandalika emoji_airplane emoji_airplane emoji_latin_cross emoji_club_suit bikin semuanya jadi lebih mudah.","serius deh, emoji_club_suit emoji_latin_cross mandalika emoji_airplane emoji_airplane emoji_latin_cross emoji_club_suit bikin semuanya jadi lebih mudah.",1,1
8909,seberapa legam elo,seberapa legam elo,seberapa legam elo,4,3
64496,video nya mulai ngebug,video nya mulai ngebug,video nya mulai ngebug,0,0
10199,memorable banget karena 𝙬 𝙚 𝙩 𝙤 𝙣 88 cerita ngena the best 💖,memorable banget karena w e t o n 88 cerita ngena the best emoji_sparkling_heart,memorable banget karena w e t o n 88 cerita kena the terbaik emoji_sparkling_heart,1,1
16952,Kalian udah coba ♣♑ＭＡＮＤＡＬＩＫＡ✈✈♑♣? Recommended banget!,kalian udah coba emoji_club_suit emoji_capricorn mandalika emoji_airplane emoji_airplane emoji_capricorn emoji_club_suit ? recommended banget!,kalian sudah coba emoji_club_suit emoji_capricorn mandalika emoji_airplane emoji_airplane emoji_capricorn emoji_club_suit ? direkomendasikan banget!,1,1
11495,berak sekebon itu mah alibi bilang aja lo tukang pembenci ajaran si maya esteler,berak sekebon itu mah alibi bilang aja lo tukang pembenci ajaran si maya esteler,berak sekebun itu mah alibi bilang aja lo tukang pembenci ajaran si maya esteler,3,3
900,takut bgt ketemu mulyono sekeluarga😭,takut bgt ketemu mulyono sekeluarga emoji_loudly_crying_face,takut banget ketemu mulyono sekeluarga emoji_loudly_crying_face,3,3
11793,aku ada vedeonya durasi 7 menit,aku ada vedeonya durasi 7 menit,aku ada videonya durasi tujuh menit,5,5
15726,Jalanin aja seperti kamu menjalani kebahagiaan di ⏺✨☔♋4⃣♎️17.,jalanin aja seperti kamu menjalani kebahagiaan di emoji_record_button emoji_sparkles emoji_umbrella_with_rain_drops emoji_cancer emoji_keycap_4 emoji_libra 17.,jalani aja seperti kamu menjalani kebahagiaan di emoji_record_button emoji_sparkles emoji_umbrella_with_rain_drops emoji_cancer emoji_keycap_4 emoji_libra 17.,1,1
42258,angkat jadi muridmu,angkat jadi muridmu,angkat jadi muridmu,0,0
63170,mantap trus berkaya dukung juga channel youtube saya y faozanozan kita belajar bikin begel,mantap trus berkaya dukung juga channel youtube saya y faozanozan kita belajar bikin begel,mantap terus berkaya dukung juga saluran YouTube saya y faozanozan kita belajar bikin begel,0,0
60943,gokil could you call me please 087878033411 087808190909 freek 666,gokil could you call me please 087878033411 087808190909 freek 666,gokil could you call me silakan 087878033411 087808190909 freek 666,0,0
10180,anj sok cantik😳🗿,anj sok cantik emoji_flushed_face emoji_moai,anjing sok cantik emoji_flushed_face emoji_moai,3,3
14846,aku wong jogja tp pingin napuk mulut e nganggo parutan klopo wong kui songong banget,aku wong jogja tp pingin napuk mulut e nganggo parutan klopo wong kui songong banget,aku wong Yogyakarta tp ingin napak mulut e nganggo parutan klopo wong kui songong banget,3,3
17217,Senang banget bisa dapet rezeki hari ini dari АH𝐌𝘼𝐃TOT𝑂!,senang banget bisa dapet rezeki hari ini dari ahmadtoto!,senang banget bisa dapat rezeki hari ini dari ahmadtoto!,1,1
9775,anj lahh🗿😭😭😭,anj lahh emoji_moai emoji_loudly_crying_face emoji_loudly_crying_face emoji_loudly_crying_face,anjing lah emoji_moai emoji_loudly_crying_face emoji_loudly_crying_face emoji_loudly_crying_face,3,3
7056,kamu mau gak sama mimin aja? hehehe,kamu mau gak sama mimin aja? hehehe,kamu mau gak sama mimin aja? hehehe,5,5
16144,"D𝑂R𝘈𝟽7 tiap maen pasti ada aja jekpotnya, luar biasa","dora77 tiap maen pasti ada aja jekpotnya, luar biasa","dora77 tiap main pasti ada aja jekpotnya, luar biasa",1,1
16424,terbukti lagi gabut di suasana mudik main di NAGAMASTOTO gacor bos,terbukti lagi gabut di suasana mudik main di nagamastoto gacor bos,terbukti lagi gabut di suasana mudik main di nagamastoto gacor bos,1,1
64089,ada jassica jane weh😂,ada jassica jane weh emoji_face_with_tears_of_joy,ada jessica jane weh emoji_face_with_tears_of_joy,0,0
4689,aceh jadi seperti palestina,aceh jadi seperti palestina,aceh jadi seperti palestina,4,4
16575,beneran lagi rame banget di 𝐌𝐄𝐆𝐀𝐇𝐎𝐊𝐈𝟖𝟖,beneran lagi rame banget di megahoki88,benar lagi rame banget di megahoki88,1,1
5092,mendagri buat keputusan konyol aceh akan siap merdeka 🔥,mendagri buat keputusan konyol aceh akan siap merdeka emoji_fire,mendagri buat keputusan konyol aceh akan siap merdeka emoji_fire,4,4
58985,punten yahhh tapi kdrt bukan hanya mencakup kekerasan fisik tapi juga kekerasan verbal dan psikis,punten yahhh tapi kdrt bukan hanya mencakup kekerasan fisik tapi juga kekerasan verbal dan psikis,punten ya tapi kdrt bukan hanya mencakup kekerasan fisik tapi juga kekerasan verbal dan psikis,0,0
50308,kalo di minta masa ga ngasihhh kita kan baiqqqqqqqq,kalo di minta masa ga ngasihhh kita kan baiqqqqqqqq,kalo di minta masa ga memberi kita kan bai,0,0
37621,educate your son was tottallyyy righttt,educate your son was tottallyyy righttt,mendidik your son was totally right,0,0
15574,"04:50 Dengan 𝓢𝓛𝓞𝓣𝓣𝓔𝓡99, setiap putaran membawa harapan.","04:50 dengan slotter99, setiap putaran membawa harapan.","04:50 dengan slotter99, setiap putaran membawa harapan.",1,1
13018,cairan gw,cairan gw,cairan saya,5,5
41903,tujuan video nya apaan sih?,tujuan video nya apaan sih?,tujuan video nya apaan sih?,0,0
3693,pantes agamamu sering di tebak ama org kristen 😂,pantes agamamu sering di tebak ama org kristen emoji_face_with_tears_of_joy,pantas agamamu sering di tebak ama orang kristen emoji_face_with_tears_of_joy,4,4
35721,gender war they said 💀,gender war they said emoji_skull,gender war mereka said emoji_skull,0,0
12625,request yang pink bang😆😆😍😍,request yang pink bang emoji_grinning_squinting_face emoji_grinning_squinting_face emoji_smiling_face_with_heart-eyes emoji_smiling_face_with_heart-eyes,permintaan yang pink bang emoji_grinning_squinting_face emoji_grinning_squinting_face emoji_smiling_face_with_heart-eyes emoji_smiling_face_with_heart-eyes,5,5
6727,pasti embaknya pernah gituan,pasti embaknya pernah gituan,pasti embaknya pernah itu,5,5
5344,mungkin si tito itu masih gerombolannya mulyono,mungkin si tito itu masih gerombolannya mulyono,mungkin si tito itu masih gerombolannya mulyono,2,2
10945,najis bgt ahhhhhh,najis bgt ahhhhhh,najis banget ah,3,3
15634,"Jika Anda menghargai dukungan pelanggan, 𝘋𝙀𝘞𝘼D𝘖𝙍𝘈mungkin pilihan yang baik.","jika anda menghargai dukungan pelanggan, dewadoramungkin pilihan yang baik.","jika anda menghargai dukungan pelanggan, dewadoramungkin pilihan yang baik.",1,1
35050,dipecah juga kalo sdm ga berkualitas bisa apaa? sumber daya alam banyak tapi kalo ga ngerti teknik pengelolaannya paling cuman nyengir,dipecah juga kalo sdm ga berkualitas bisa apaa? sumber daya alam banyak tapi kalo ga ngerti teknik pengelolaannya paling cuman nyengir,dipecah juga kalo sdm ga berkualitas bisa apaa? sumber daya alam banyak tapi kalo ga mengerti teknik pengelolaannya paling cuman tersenyum,0,0
42393,@jisa @mas dann,mention_user mention_user dann,mention_user mention_user dan,0,0
8088,widy ini cewek siapa cewek abang atau teman abang knp abng yg sentuh sentuh ajak whillie kalau whillie pasti duduknya rpat ambil jata cewwk org lain abang ya,widy ini cewek siapa cewek abang atau teman abang knp abng yg sentuh sentuh ajak whillie kalau whillie pasti duduknya rpat ambil jata cewwk org lain abang ya,widy ini cewek siapa cewek abang atau teman abang kenapa abang yg sentuh sentuh ajak willy kalau willy pasti duduknya rapat ambil jata cewek orang lain abang ya,3,3
2252,palembang b nya apa babi🐷,palembang b nya apa babi emoji_pig_face,palembang b nya apa babi emoji_pig_face,4,4
8918,ngadi ngadi lu bang😭,ngadi ngadi lu bang emoji_loudly_crying_face,ngadi ngadi lu bang emoji_loudly_crying_face,3,3
8733,💖❤️💯🙏thankssss ⛎🀄️ 𝐀𝐍𝐆𝐊𝐎𝐓𝟕𝟕𝟕 🀄️⛎ 🖤❤️happy asmara❤️💖🖤 93,emoji_sparkling_heart emoji_red_heart emoji_hundred_points emoji_folded_hands thankssss emoji_ophiuchus emoji_mahjong_red_dragon  angkot777 emoji_mahjong_red_dragon  emoji_ophiuchus emoji_black_heart emoji_red_heart happy asmara emoji_red_heart emoji_sparkling_heart emoji_black_heart 93,emoji_sparkling_heart emoji_red_heart emoji_hundred_points emoji_folded_hands terima kasih emoji_ophiuchus emoji_mahjong_red_dragon angkot777 emoji_mahjong_red_dragon emoji_ophiuchus emoji_black_heart emoji_red_heart bahagia asmara emoji_red_heart emoji_sparkling_heart emoji_black_heart 93,1,1
16229,"Happy banget main di 𝘼XL𝟩7𝟽, jakpotnya besar terus!","happy banget main di axl777, jakpotnya besar terus!","bahagia banget main di axl777, jackpotnya besar terus!",1,1
16287,"Hasil nyata di D О 𝐑 𝐀 𝟽 𝟩 mengantar saya, dari kuli bangunan jadi pemilik perusahaan. 🛥","hasil nyata di d o r a 7 7 mengantar saya, dari kuli bangunan jadi pemilik perusahaan. emoji_motor_boat","hasil nyata di d o r a tujuh tujuh mengantar saya, dari kuli bangunan jadi pemilik perusahaan. emoji_motor_boat",1,1
12946,bqng merasa nonton anu gueh😂😂,bqng merasa nonton anu gueh emoji_face_with_tears_of_joy emoji_face_with_tears_of_joy,bang merasa nonton anu gue emoji_face_with_tears_of_joy emoji_face_with_tears_of_joy,5,5
64409,syallow 🗿,syallow emoji_moai,shallow emoji_moai,0,0
61732,atau abhi lale panggil,atau abhi lale panggil,atau abhi lale panggil,0,0
62972,ko kapan konten sama hana cewek vietnam lagi ko,ko kapan konten sama hana cewek vietnam lagi ko,ko kapan konten sama hana cewek vietnam lagi ko,0,0
29511,2025 kehilangan bapak paus😭 tuhan yesus menyambutmu bapak paus fransiskus 🙏,2025 kehilangan bapak paus emoji_loudly_crying_face tuhan yesus menyambutmu bapak paus fransiskus emoji_folded_hands,2025 kehilangan bapak paus emoji_loudly_crying_face tuhan yesus menyambutmu bapak paus Fransiskus emoji_folded_hands,0,0
6449,i ll admit it we re the worst one of a kind it s true and it s not sugarcoating generasi cucu adam yang terburuk,i ll admit it we re the worst one of a kind it s true and it s not sugarcoating generasi cucu adam yang terburuk,i lalu mengakui itu we re the terburuk satu of a baik itu s true dan itu s not sugarcoating generasi cucu adam yang terburuk,4,4
15666,Temen aku abis merekomendasikan ♓☔☑▪☀➗17!.,temen aku abis merekomendasikan emoji_pisces emoji_umbrella_with_rain_drops emoji_check_box_with_check emoji_black_small_square emoji_sun emoji_divide 17!.,teman aku abis merekomendasikan emoji_pisces emoji_umbrella_with_rain_drops emoji_check_box_with_check emoji_black_small_square emoji_sun emoji_divide 17!.,1,1
5457,pejabat kok goblok,pejabat kok goblok,pejabat kok goblok,3,3
1439,soalnya palembang hama😅,soalnya palembang hama emoji_grinning_face_with_sweat,soalnya palembang hama emoji_grinning_face_with_sweat,4,4
5053,orang rakus korupsi ngak pernah puas,orang rakus korupsi ngak pernah puas,orang rakus korupsi ngak pernah puas,3,3
15277,"Rezeki dari 𝘋𝙀𝘞𝘼D𝘖𝙍𝘈bikin hariku lebih bermakna, terima kasih!","rezeki dari dewadorabikin hariku lebih bermakna, terima kasih!","rezeki dari dewadorabikin hariku lebih bermakna, terima kasih!",1,1
32249,persis mirip indentik sama wajah dn aidit bukan seperti ijazah jokowi yg foto copy di bilang indentik 😂😂😂 coba pak mendagri buat pulau komaru jadikan milik jambi atau riau 😂😂😂,persis mirip indentik sama wajah dn aidit bukan seperti ijazah jokowi yg foto copy di bilang indentik emoji_face_with_tears_of_joy emoji_face_with_tears_of_joy emoji_face_with_tears_of_joy coba pak mendagri buat pulau komaru jadikan milik jambi atau riau emoji_face_with_tears_of_joy emoji_face_with_tears_of_joy emoji_face_with_tears_of_joy,persis mirip identik sama wajah dn aidit bukan seperti ijazah Jokowi yg foto salin di bilang identik emoji_face_with_tears_of_joy emoji_face_with_tears_of_joy emoji_face_with_tears_of_joy coba pak mendagri buat pulau komaru jadikan milik jambi atau riau emoji_face_with_tears_of_joy emoji_face_with_tears_of_joy emoji_face_with_tears_of_joy,0,0
4179,para domba katolik yang hilang😔😔😔,para domba katolik yang hilang emoji_pensive_face emoji_pensive_face emoji_pensive_face,para domba katolik yang hilang emoji_pensive_face emoji_pensive_face emoji_pensive_face,4,4
45870,guru kencing berdiri maka murid kencing berlari,guru kencing berdiri maka murid kencing berlari,guru kencing berdiri maka murid kencing berlari,0,0
24618,palembang banjir pahala kalau ini setingan,palembang banjir pahala kalau ini setingan,palembang banjir pahala kalau ini pengaturan,0,0
9433,ajg ra memper,ajg ra memper,anjing ra memper,3,3
16822,"Ternyata main di 𝐷Е𝘞𝘼𝘿𝑂R𝐀 itu gacir beneran, hasilnya langsung terlihat!","ternyata main di dewadora itu gacir beneran, hasilnya langsung terlihat!","ternyata main di dewadora itu gacir beneran, hasilnya langsung terlihat!",1,1
8817,10 bil pun ku sikat nona,10 bil pun ku sikat nona,10 bil pun ku sikat nona,1,1
16457,"📈 Pasti cuan, pasti happy! 𝑴𝑨𝑪𝑨𝑼𝟑𝟐𝟖 terbaik! 💥🎯","emoji_chart_increasing pasti cuan, pasti happy! macau328 terbaik! emoji_collision emoji_bullseye","emoji_chart_increasing pasti cuan, pasti happy! macau328 terbaik! emoji_collision emoji_bullseye",1,1
12718,indonesia ni bos bukan thailand konten lu isinya sampah taubat lu taubat,indonesia ni bos bukan thailand konten lu isinya sampah taubat lu taubat,indonesia ni bos bukan thailand konten lu isinya sampah taubat lu taubat,4,4
3709,merasa kah kak kesindir agamanya? kan ga saya bilang agamanya apa aoakapkaok lucu lu,merasa kah kak kesindir agamanya? kan ga saya bilang agamanya apa aoakapkaok lucu lu,merasa kah kak kesindir agamanya? kan ga saya bilang agamanya apa aoakapkaok lucu lu,4,4
5654,jawa penjajah perpanjangan tangan belanda😆🤣,jawa penjajah perpanjangan tangan belanda emoji_grinning_squinting_face emoji_rolling_on_the_floor_laughing,jawa penjajah perpanjangan tangan belanda emoji_grinning_squinting_face emoji_rolling_on_the_floor_laughing,4,4
4869,mulyono maruk,mulyono maruk,mulyono rakus,3,3
46253,halah basi pak,halah basi pak,halah basi pak,0,0
33483,ibaratnya bangunin macan tidur,ibaratnya bangunin macan tidur,ibaratnya bangunkan macan tidur,0,0
11708,anjay ewean bang🗿🗿🗿🗿,anjay ewean bang emoji_moai emoji_moai emoji_moai emoji_moai,anjay ewean bang emoji_moai emoji_moai emoji_moai emoji_moai,5,5
6833,mini boobs,mini boobs,mini payudara,5,5
3213,😭 aku sadar knpa aceh ingin pisah dan sya bru sadar skrang knpa jawa sangat beban krna kbnyakan pembngunan di wilayah jawa dan yg lain hanya diambil alamnya,emoji_loudly_crying_face aku sadar knpa aceh ingin pisah dan sya bru sadar skrang knpa jawa sangat beban krna kbnyakan pembngunan di wilayah jawa dan yg lain hanya diambil alamnya,emoji_loudly_crying_face aku sadar kenapa aceh ingin pisah dan saya baru sadar skrang kenapa jawa sangat beban karena kebanyakan pembangunan di wilayah jawa dan yg lain hanya diambil alam,4,4
6761,jadi pengen coba untuk ngentod makek kondom siapa yang mau sama aku carik yg serius,jadi pengen coba untuk ngentod makek kondom siapa yang mau sama aku carik yg serius,jadi ingin coba untuk ngentod pakai kondom siapa yang mau sama aku carik yg serius,5,5
14108,lg ngebayangin klo klen berdua gulat anjay,lg ngebayangin klo klen berdua gulat anjay,lagi membayangkan kalau klen berdua gulat anjay,5,5
